Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall valgtingstemmer totalt;Antall stemmer parti
03;Oslo;0301;Oslo;0104;Gamlebyen skole;PP;Pensjonistpartiet;0,21061;8180;2399;5
03;Oslo;0301;Oslo;0104;Gamlebyen skole;SAMFS;Samfunnspartiet;0,0;8180;2399;0
03;Oslo;0301;Oslo;0104;Gamlebyen skole;BLANKE;Blanke;1,05307;8180;2399;25
03;Oslo;0301;Oslo;0104;Gamlebyen skole;FI;Feministisk Initiativ;0,04212;8180;2399;1
03;Oslo;0301;Oslo;0104;Gamlebyen skole;Andre;Andre;1,30581;8180;2399;31
03;Oslo;0301;Oslo;0104;Gamlebyen skole;Andre2;Andre2;0,0;8180;2399;0
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;A;Arbeiderpartiet;31,96154;6267;2614;831
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;SV;Sosialistisk Venstreparti;13,03846;6267;2614;339
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;RØDT;Rødt;10,88462;6267;2614;283
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;SP;Senterpartiet;2,23077;6267;2614;58
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;KRF;Kristelig Folkeparti;1,61538;6267;2614;42
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;MDG;Miljøpartiet De Grønne;6,92308;6267;2614;180
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;V;Venstre;7,65385;6267;2614;199
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;H;Høyre;16,11538;6267;2614;419
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;FRP;Fremskrittspartiet;8,15385;6267;2614;212
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;ALLI;Alliansen;0,15385;6267;2614;4
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;DEMN;Demokratene i Norge;0,07692;6267;2614;2
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;HELSE;Helsepartiet;0,30769;6267;2614;8
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;KRISTNE;Partiet De Kristne;0,0;6267;2614;0
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;LIBS;Liberalistene;0,07692;6267;2614;2
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;NKP;Norges Kommunistiske Parti;0,03846;6267;2614;1
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;PIR;Piratpartiet;0,15385;6267;2614;4
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;PP;Pensjonistpartiet;0,5;6267;2614;13
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;SAMFS;Samfunnspartiet;0,07692;6267;2614;2
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;BLANKE;Blanke;0,53846;6267;2614;14
