Partikode,Side,År,Variabel,enkel,kontrollert,andel_forklart_av_andre
A,Venstresida,2019,Utdanning,-0.5249137218185427,-0.336475930022804,0.36
A,Venstresida,2021,Utdanning,-0.46055537208271574,-0.38181613729789804,0.17
A,Venstresida,2023,Utdanning,-0.40766287077149144,-0.2682094328536748,0.34
A,Venstresida,2025,Utdanning,-0.24261508108770286,-0.24622738219344623,-0.01
FRP,Høyresida,2015,Utdanning,-0.11110661548190359,-0.17922526103700562,-0.61
FRP,Høyresida,2019,Utdanning,-0.07181904484709878,-0.1704881367286519,-1.37
FRP,Høyresida,2021,Utdanning,-0.07091766156980377,-0.21095683595561657,-1.97
FRP,Høyresida,2023,Utdanning,-0.07356516872904725,-0.19033927391471178,-1.59
FRP,Høyresida,2025,Utdanning,-0.010148625060802214,-0.1542458033393782,-14.2
H,Høyresida,2015,Utdanning,0.6276755031807038,-0.08489513641795375,1.14
H,Høyresida,2019,Utdanning,0.5476163859968723,-0.09868586492128793,1.18
H,Høyresida,2021,Utdanning,0.46275465476441446,-0.0894191077072869,1.19
H,Høyresida,2023,Utdanning,0.4525540127388533,-0.13793843489424976,1.3
H,Høyresida,2025,Utdanning,0.43053045677277013,-0.03008646853396772,1.07
KRF,Høyresida,2015,Utdanning,0.005046683059209513,-0.012105716929086815,3.4
KRF,Høyresida,2019,Utdanning,-0.010036903233118786,-0.03020632293217116,-2.01
KRF,Høyresida,2021,Utdanning,-0.015317006785424945,-0.028408691107332896,-0.85
KRF,Høyresida,2023,Utdanning,-0.022029718688586563,-0.03752913718366558,-0.7
KRF,Høyresida,2025,Utdanning,-0.007183558673232298,-0.03139879008716057,-3.37
MDG,Venstresida,2015,Utdanning,0.1404738632361683,0.2793405509234355,-0.99
MDG,Venstresida,2019,Utdanning,0.3165564707326358,0.5520985274562558,-0.74
MDG,Venstresida,2021,Utdanning,0.15012536941978913,0.24138478624498638,-0.61
MDG,Venstresida,2023,Utdanning,0.1837855213434627,0.35876946836508133,-0.95
MDG,Venstresida,2025,Utdanning,0.2041553035798827,0.2810248118574088,-0.38
RØDT,Venstresida,2015,Utdanning,0.008367276364089177,0.16474472405219703,-18.69
RØDT,Venstresida,2019,Utdanning,-0.065868701285254,0.0955991220425977,2.45
RØDT,Venstresida,2021,Utdanning,-0.10666381961351935,0.12025624006316242,2.13
RØDT,Venstresida,2023,Utdanning,-0.090743537889065,0.06484302554294581,1.71
RØDT,Venstresida,2025,Utdanning,-0.1382865481190606,0.07341479443196253,1.53
SP,Venstresida,2015,Utdanning,-0.008253843874786141,5.857141450313811e-4,1.07
SP,Venstresida,2019,Utdanning,-0.02211583755958829,-0.024166010761350436,-0.09
SP,Venstresida,2021,Utdanning,-0.092045386015434,-0.09380985260374186,-0.02
SP,Venstresida,2023,Utdanning,-0.038268084001433555,-0.01975942887944824,0.48
SP,Venstresida,2025,Utdanning,-0.014121640125300514,-0.01436794402898352,-0.02
SV,Venstresida,2015,Utdanning,0.02820242228600468,0.15107813632169115,-4.36
SV,Venstresida,2019,Utdanning,0.014203313869105942,0.165517680068006,-10.65
SV,Venstresida,2021,Utdanning,-0.09916633979101758,0.18682316446949768,2.88
SV,Venstresida,2023,Utdanning,-0.05710347742727064,0.12624046452481974,3.21
SV,Venstresida,2025,Utdanning,-0.41384428941334006,-0.03590360040073191,0.91
V,Høyresida,2015,Utdanning,0.2029469753943444,0.23066091954622125,-0.14
V,Høyresida,2019,Utdanning,0.17861238460526233,0.17214070174589982,0.04
V,Høyresida,2021,Utdanning,0.3116659852622308,0.31822067899905365,-0.02
V,Høyresida,2023,Utdanning,0.2768218084547904,0.27850686646719675,-0.01
V,Høyresida,2025,Utdanning,0.24823540565895896,0.20021458118606625,0.19
