Partikode,Side,År,Variabel,estimate,std.error,statistic,p.value,r.squared,n
A,Venstresida,2025,Utdanning,-0.24622738219344623,0.046392958538609357,-5.307430048646925,7.650913426430183e-7,0.6341501541385033,96
FRP,Høyresida,2015,Inntekt,2.9021100966873807e-6,9.423809322592653e-7,3.0795509515773607,0.0028513289736865634,0.7145042653945346,83
FRP,Høyresida,2015,Innvandrerandel,-0.05550639791200141,0.01335655942863735,-4.155740721146496,8.154032992319573e-5,0.7145042653945346,83
FRP,Høyresida,2015,Utdanning,-0.17922526103700562,0.013865086858770767,-12.926371313976402,3.477819120496798e-21,0.7145042653945346,83
FRP,Høyresida,2019,Inntekt,5.129151723189374e-6,1.0045327821601915e-6,5.1060073043703165,1.7957047091656579e-6,0.6380721914561064,95
FRP,Høyresida,2019,Innvandrerandel,-0.06345128594617797,0.013610654563931571,-4.661883500763055,1.0689582790856493e-5,0.6380721914561064,95
FRP,Høyresida,2019,Utdanning,-0.1704881367286519,0.014319864431238956,-11.905708852713017,2.945867314310942e-20,0.6380721914561064,95
FRP,Høyresida,2021,Inntekt,2.8276063391812045e-6,6.088579686520006e-7,4.644114858907847,1.0959957682611227e-5,0.5911455229782393,99
FRP,Høyresida,2021,Innvandrerandel,-0.10779718702010731,0.016370669054786183,-6.584775897634517,2.5035566141142553e-9,0.5911455229782393,99
FRP,Høyresida,2021,Utdanning,-0.21095683595561657,0.018753017017801136,-11.24922116560592,3.653209824608389e-19,0.5911455229782393,99
FRP,Høyresida,2023,Inntekt,4.010401721919916e-6,7.860481515242024e-7,5.101979712239596,1.7699906367663345e-6,0.5858182504058453,97
FRP,Høyresida,2023,Innvandrerandel,-0.07663904638685114,0.015976755481762892,-4.796909264483198,6.113868472771347e-6,0.5858182504058453,97
FRP,Høyresida,2023,Utdanning,-0.19033927391471178,0.01803475774298441,-10.554024435884342,1.3897583580700024e-17,0.5858182504058453,97
FRP,Høyresida,2025,Inntekt,7.917865659339796e-6,1.449290064121916e-6,5.463271884180761,3.960726727657157e-7,0.3497933738024908,96
FRP,Høyresida,2025,Innvandrerandel,-0.055594470232501976,0.030102364763832157,-1.8468472715903854,0.06798383340825942,0.3497933738024908,96
FRP,Høyresida,2025,Utdanning,-0.1542458033393782,0.03470920945712155,-4.4439445827750035,2.4599630040752127e-5,0.3497933738024908,96
H,Høyresida,2015,Inntekt,7.54367946251448e-5,6.094647934971916e-6,12.377547551562126,3.4975938540859467e-20,0.8009192643897098,83
H,Høyresida,2015,Innvandrerandel,-0.14181912271156089,0.08638070291269304,-1.6417917188622642,0.1046084386370472,0.8009192643897098,83
H,Høyresida,2015,Utdanning,-0.08489513641795375,0.08966949574141565,-0.9467560368887324,0.3466500764399312,0.8009192643897098,83
H,Høyresida,2019,Inntekt,7.658017313454614e-5,5.418252254628344e-6,14.133740832965154,1.1117664112050628e-24,0.8197179999168765,95
H,Høyresida,2019,Innvandrerandel,-0.06982413832107841,0.0734131937629783,-0.9511115746648007,0.3440670800489116,0.8197179999168765,95
H,Høyresida,2019,Utdanning,-0.09868586492128793,0.07723853229924729,-1.277676594616618,0.20461335927715224,0.8197179999168765,95
H,Høyresida,2021,Inntekt,2.7734729205162906e-5,2.4246178563849778e-6,11.438804318019185,1.455551825674362e-19,0.7627459657843778,99
H,Høyresida,2021,Innvandrerandel,-0.22192524203139133,0.0651919142966663,-3.4041835467736807,9.733933716760322e-4,0.7627459657843778,99
H,Høyresida,2021,Utdanning,-0.0894191077072869,0.07467899290719515,-1.1973796676450836,0.23413779094108095,0.7627459657843778,99
H,Høyresida,2023,Inntekt,4.1178668309053e-5,4.0168041450668295e-6,10.251599734984811,6.025980175359578e-17,0.7070771839872967,97
H,Høyresida,2023,Innvandrerandel,-0.17908067809257217,0.08164321424765594,-2.193454529476879,0.030767700719215165,0.7070771839872967,97
H,Høyresida,2023,Utdanning,-0.13793843489424976,0.09215986262015323,-1.4967300403080877,0.13784971459476514,0.7070771839872967,97
H,Høyresida,2025,Inntekt,3.098363736773331e-5,2.543505072196682e-6,12.181472608967313,6.808198600477415e-21,0.8023741212214522,96
H,Høyresida,2025,Innvandrerandel,-0.11863965139172913,0.05282967113164518,-2.24570111549802,0.027117605014674705,0.8023741212214522,96
H,Høyresida,2025,Utdanning,-0.03008646853396772,0.060914686777773445,-0.4939115692037946,0.6225457998433352,0.8023741212214522,96
KRF,Høyresida,2015,Inntekt,-1.6169634509279006e-6,8.137381630936425e-7,-1.987080764137426,0.050379722541742944,0.1256255824404576,83
KRF,Høyresida,2015,Innvandrerandel,-0.03683052007728331,0.01153327891371241,-3.193412762566066,0.002019803417559009,0.1256255824404576,83
KRF,Høyresida,2015,Utdanning,-0.012105716929086815,0.011972388155754729,-1.011136355720976,0.31503811819626854,0.1256255824404576,83
KRF,Høyresida,2019,Inntekt,-3.7335869378711085e-7,6.508367496557448e-7,-0.5736595144398285,0.567613327635951,0.11367386557107657,95
KRF,Høyresida,2019,Innvandrerandel,-0.02440884723487533,0.008818342551277463,-2.7679631510049876,0.006834001363924926,0.11367386557107657,95
KRF,Høyresida,2019,Utdanning,-0.03020632293217116,0.009277839596132006,-3.255749640763824,0.0015891902573612802,0.11367386557107657,95
KRF,Høyresida,2021,Inntekt,-1.6239012541352944e-7,2.846026386905498e-7,-0.5705854526180175,0.569627844135443,0.1269446723964614,99
KRF,Høyresida,2021,Innvandrerandel,-0.015303590454660355,0.0076522536453569115,-1.9998801874459526,0.04836874037076707,0.1269446723964614,99
KRF,Høyresida,2021,Utdanning,-0.028408691107332896,0.008765850824768459,-3.2408367054413434,0.001643721381337024,0.1269446723964614,99
KRF,Høyresida,2023,Inntekt,1.7791516119622624e-7,4.6116282369580205e-7,0.3857968423612239,0.7005282414218987,0.15104889002859695,97
KRF,Høyresida,2023,Innvandrerandel,-0.013707127701269443,0.009373326121536338,-1.4623547205698602,0.14701520561397508,0.15104889002859695,97
KRF,Høyresida,2023,Utdanning,-0.03752913718366558,0.010580725607327304,-3.5469341684540154,6.127241618395744e-4,0.15104889002859695,97
KRF,Høyresida,2025,Inntekt,7.607633550166406e-7,4.012947353593221e-7,1.8957720796796593,0.06112910296554204,0.12739293407757693,96
KRF,Høyresida,2025,Innvandrerandel,-0.015275311964595641,0.008335060593208918,-1.8326575786433237,0.07008817998757337,0.12739293407757693,96
KRF,Høyresida,2025,Utdanning,-0.03139879008716057,0.00961065239349849,-3.267082067019877,0.0015280491935319932,0.12739293407757693,96
MDG,Venstresida,2015,Inntekt,-1.4446300888457935e-5,1.4513116106977522e-6,-9.953962182878517,1.3543430935299347e-15,0.7486555567394897,83
MDG,Venstresida,2015,Innvandrerandel,0.03011940775922891,0.02056973896031982,1.4642581423775447,0.14709154405086636,0.7486555567394897,83
MDG,Venstresida,2015,Utdanning,0.2793405509234355,0.021352895472136712,13.08209236953113,1.8183754524552086e-21,0.7486555567394897,83
MDG,Venstresida,2019,Inntekt,-2.7140356014234732e-5,2.4684299252739393e-6,-10.994987435676455,2.177804641605066e-18,0.8161010951771472,95
MDG,Venstresida,2019,Innvandrerandel,0.03163326249439621,0.03344534655795568,0.9458195459144246,0.3467453197492081,0.8161010951771472,95
MDG,Venstresida,2019,Utdanning,0.5520985274562558,0.03518808197769625,15.689929556439024,1.2789444924548697e-27,0.8161010951771472,95
MDG,Venstresida,2021,Inntekt,-5.597089292288524e-6,6.835013772094795e-7,-8.188848594774853,1.202363786303418e-12,0.7214918528324312,99
MDG,Venstresida,2021,Innvandrerandel,0.02426876619705533,0.018377643754191174,1.320559181669883,0.18982095168168214,0.7214918528324312,99
MDG,Venstresida,2021,Utdanning,0.24138478624498638,0.02105205748867514,11.466090018747014,1.275266470868454e-19,0.7214918528324312,99
MDG,Venstresida,2023,Inntekt,-1.2130922256083758e-5,1.4369306396575803e-6,-8.442246216542888,4.0076343467265145e-13,0.6803445173666786,97
MDG,Venstresida,2023,Innvandrerandel,0.053783997810567766,0.02920621265955034,1.841525925922496,0.06873202471588105,0.6803445173666786,97
MDG,Venstresida,2023,Utdanning,0.35876946836508133,0.03296833143039097,10.882245257773628,2.8426406765763317e-18,0.6803445173666786,97
MDG,Venstresida,2025,Inntekt,-1.2456737646286742e-5,1.4071353082593242e-6,-8.852551402250125,5.924524066059155e-14,0.6876832924004266,96
MDG,Venstresida,2025,Innvandrerandel,-0.056061437696895075,0.029226792737969378,-1.9181522310542145,0.058192953698873756,0.6876832924004266,96
MDG,Venstresida,2025,Utdanning,0.2810248118574088,0.03369964050534998,8.339104146015883,7.067198182962555e-13,0.6876832924004266,96
RØDT,Venstresida,2015,Inntekt,-1.336477755836274e-5,1.7767683210393117e-6,-7.52195849065177,7.394072017976459e-11,0.5310356738983677,83
RØDT,Venstresida,2015,Innvandrerandel,0.0621783107851925,0.025182504079308797,2.469107543450427,0.015702566937325284,0.5310356738983677,83
RØDT,Venstresida,2015,Utdanning,0.16474472405219703,0.026141283482956586,6.302090108146609,1.557887422356893e-8,0.5310356738983677,83
RØDT,Venstresida,2019,Inntekt,-1.482954779978796e-5,1.6877155342514565e-6,-8.786757897778804,8.81944538819395e-14,0.6169977171354247,95
RØDT,Venstresida,2019,Innvandrerandel,0.05205930942846102,0.022867260826948954,2.2765870307959832,0.025155651960916084,0.6169977171354247,95
RØDT,Venstresida,2019,Utdanning,0.0955991220425977,0.024058804329914706,3.9735608109057106,1.4157816440568655e-4,0.6169977171354247,95
RØDT,Venstresida,2021,Inntekt,-7.096510146518578e-6,1.0660120594108407e-6,-6.657063664402305,1.7917474441168698e-9,0.5818920256955558,99
RØDT,Venstresida,2021,Innvandrerandel,0.14387875589631433,0.02866239998741059,5.019773499759626,2.41221562559563e-6,0.5818920256955558,99
RØDT,Venstresida,2021,Utdanning,0.12025624006316242,0.032833506861332996,3.662607243601641,4.106509028524222e-4,0.5818920256955558,99
RØDT,Venstresida,2023,Inntekt,-6.352217286342251e-6,1.0864890398323831e-6,-5.846554409165721,7.39279842603733e-8,0.5714184384097976,97
RØDT,Venstresida,2023,Innvandrerandel,0.09204870717775647,0.022083341445887056,4.168241812649246,6.876242356118035e-5,0.5714184384097976,97
RØDT,Venstresida,2023,Utdanning,0.06484302554294581,0.02492794695310908,2.6012180491606194,0.010807510200659867,0.5714184384097976,97
RØDT,Venstresida,2025,Inntekt,-7.964235325997157e-6,1.1381934380980185e-6,-6.997259920339917,4.128483983750467e-10,0.6929327818285372,96
RØDT,Venstresida,2025,Innvandrerandel,0.11987080561218318,0.023640756873735513,5.070514715430184,2.045531188534689e-6,0.6929327818285372,96
RØDT,Venstresida,2025,Utdanning,0.07341479443196253,0.027258721648382292,2.693258890822543,0.008408751879587732,0.6929327818285372,96
SP,Venstresida,2015,Inntekt,-5.915859666219135e-7,2.499226714473795e-7,-2.36707603674311,0.020376850482374507,0.2339277117368921,83
SP,Venstresida,2015,Innvandrerandel,0.005110104244265382,0.0035422055980567743,1.442633439196399,0.15307699045829185,0.2339277117368921,83
SP,Venstresida,2015,Utdanning,5.857141450313811e-4,0.0036770688253278546,0.15928832797388764,0.8738482516901851,0.2339277117368921,83
SP,Venstresida,2019,Inntekt,-2.4587129948915142e-6,5.298479603119716e-7,-4.640412305152289,1.1627084574828686e-5,0.3469699883964274,95
SP,Venstresida,2019,Innvandrerandel,-0.021955824917715614,0.007179036550406921,-3.0583247157964557,0.0029230816912775926,0.3469699883964274,95
SP,Venstresida,2019,Utdanning,-0.024166010761350436,0.007553114338906628,-3.199476358628599,0.001895536411174247,0.3469699883964274,95
SP,Venstresida,2021,Inntekt,-7.88129896104345e-7,4.5096279643031565e-7,-1.7476605661108666,0.08375393744515137,0.6031570517510227,99
SP,Venstresida,2021,Innvandrerandel,-0.011446579929107083,0.012125262502068348,-0.9440273913372602,0.3475503771071813,0.6031570517510227,99
SP,Venstresida,2021,Utdanning,-0.09380985260374186,0.013889796030059909,-6.7538682642078545,1.1426811318455596e-9,0.6031570517510227,99
SP,Venstresida,2023,Inntekt,-3.5676586414316007e-7,2.4069682072433047e-7,-1.4822209245204914,0.14166218123756963,0.6400800274992062,97
SP,Venstresida,2023,Innvandrerandel,0.014928978921870163,0.004892262951695195,3.0515487555093888,0.002967238976506235,0.6400800274992062,97
SP,Venstresida,2023,Utdanning,-0.01975942887944824,0.005522446484801882,-3.5780208887179663,5.521376482532531e-4,0.6400800274992062,97
SP,Venstresida,2025,Inntekt,-5.204289487689402e-7,2.0443942958043207e-7,-2.5456388223984416,0.012571144511112393,0.2700648571198209,96
SP,Venstresida,2025,Innvandrerandel,-0.005654495616285181,0.0042462930186915665,-1.3316310465139618,0.1862714019001351,0.2700648571198209,96
SP,Venstresida,2025,Utdanning,-0.01436794402898352,0.004896142710328241,-2.9345435537805806,0.004217458374937883,0.2700648571198209,96
SV,Venstresida,2015,Inntekt,-1.4122856103703365e-5,1.6857593482768224e-6,-8.377741531221346,1.598064667275424e-12,0.5308481869106408,83
SV,Venstresida,2015,Innvandrerandel,0.013605874461209826,0.023892615127155205,0.5694594078044658,0.5706601129521807,0.5308481869106408,83
SV,Venstresida,2015,Utdanning,0.15107813632169115,0.02480228428519665,6.0912992764889315,3.8328244639577786e-8,0.5308481869106408,83
SV,Venstresida,2019,Inntekt,-2.1679795494050664e-5,1.9584442414893445e-6,-11.069906936724305,1.5248857571890519e-18,0.6176146054567406,95
SV,Venstresida,2019,Innvandrerandel,-0.013825638590334026,0.02653542873564648,-0.5210256343724078,0.6036145089407432,0.6176146054567406,95
SV,Venstresida,2019,Utdanning,0.165517680068006,0.027918109326367187,5.928685146013209,5.4134111807538665e-8,0.6176146054567406,95
SV,Venstresida,2021,Inntekt,-1.0483911648662086e-5,1.3843206431705734e-6,-7.573326093476653,2.360963461825409e-11,0.5642525269266325,99
SV,Venstresida,2021,Innvandrerandel,0.16247037291777203,0.03722092225421307,4.365028136813076,3.233571518719327e-5,0.5642525269266325,99
SV,Venstresida,2021,Utdanning,0.18682316446949768,0.0426375114001489,4.38166202328697,3.0349156252744386e-5,0.5642525269266325,99
SV,Venstresida,2023,Inntekt,-1.2986543695146166e-5,1.634080131382638e-6,-7.947311423557859,4.366105261122345e-12,0.5092718539239854,97
SV,Venstresida,2023,Innvandrerandel,0.05360002457197586,0.03321335804439399,1.6138092541059061,0.10995694477363467,0.5092718539239854,97
